Make,Model,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,class,prestige
Toyota,Prius,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,11,17727.272727272728,4,2
Renault,Grand Scenic,Universal,135000.0,1500.0,Diesel,Manual,8550.0,8,16875.0,4,2
Renault,Laguna,Universal,110000.0,1500.0,Diesel,Manual,6550.0,10,11000.0,3,3
Opel,Astra,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,16,12500.0,3,3
Mercedes,Vito,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,22,13636.363636363636,3,4
Volkswagen,Passat,Universal,290000.0,1390.0,Petrol,Manual,5600.0,12,24166.666666666668,3,3
Volkswagen,Touareg,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,12,18333.33333333333,5,1
Mercedes,Series (W124),Sedan,240000.0,2300.0,Petrol,Manual,2850.0,31,7741.935483870968,2,4
BMW,5 Series,Sedan,325000.0,300.0,Diesel,Manual,3400.0,18,18055.555555555555,3,4
Mercedes,E Class,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,12,17500.0,4,2
Mercedes,Rare,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,16,18750.0,4,2
BMW,7 Series,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,24,11875.0,3,3
Volkswagen,Golf,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,15,15891.4,3,3
Volkswagen,Rare,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,12,12500.0,3,3
Volvo,XC60,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,10,18000.0,5,1
Nissan,Qashqai,Crossover,251000.0,1500.0,Diesel,Manual,8300.0,11,22818.18181818182,4,2
Hyundai,Matrix,Universal,383000.0,1500.0,Diesel,Manual,3200.0,17,22529.41176470588,3,4
Audi,Rare,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0,13,19076.92307692308,4,2
